paper,DOI
http://orkg.org/orkg/resource/R25113,10.1016/j.ijhcs.2014.10.004
http://orkg.org/orkg/resource/R25118,10.1109/ivs.2005.1505118
http://orkg.org/orkg/resource/R25120,10.1007/978-3-540-73281-5_35
http://orkg.org/orkg/resource/R25122,10.1109/ivs.2010.5548095
http://orkg.org/orkg/resource/R25124,10.1145/2639189.2670268
http://orkg.org/orkg/resource/R25129,10.1109/ccece.2007.306
http://orkg.org/orkg/resource/R25131,10.1518/001872007x200148
http://orkg.org/orkg/resource/R25133,10.1177/154193120905302315
http://orkg.org/orkg/resource/R25135,10.1109/tits.2012.2235431
http://orkg.org/orkg/resource/R25137,10.1109/itsc.2013.6728524
http://orkg.org/orkg/resource/R25139,10.1145/2809730.2809750
http://orkg.org/orkg/resource/R25142,10.1109/icsmc.2011.6083980
http://orkg.org/orkg/resource/R25144,10.1109/lisat.2013.6578244
http://orkg.org/orkg/resource/R25146,10.1145/2799250.2799279
http://orkg.org/orkg/resource/R25149,10.1117/12.2002833
http://orkg.org/orkg/resource/R25151,10.1145/2799250.2799258
http://orkg.org/orkg/resource/R25154,10.1109/icce.2013.6487042
http://orkg.org/orkg/resource/R25156,10.1145/2667317.2667331
http://orkg.org/orkg/resource/R25158,10.1145/2809730.2809758
http://orkg.org/orkg/resource/R25163,10.1109/icpr.2010.322
http://orkg.org/orkg/resource/R25166,10.1016/j.patcog.2010.07.028
http://orkg.org/orkg/resource/R25169,10.1109/cits.2012.6220365
http://orkg.org/orkg/resource/R25172,10.1109/icfhr.2010.52
http://orkg.org/orkg/resource/R25175,10.1109/ijcb.2011.6117473
http://orkg.org/orkg/resource/R25178,10.1109/ictai.2010.10
http://orkg.org/orkg/resource/R25180,10.1109/ijcnn.2012.6252613
http://orkg.org/orkg/resource/R25182,10.1109/icacci.2013.6637499
http://orkg.org/orkg/resource/R25188,10.1109/iccict.2015.7045677
http://orkg.org/orkg/resource/R25191,10.1109/confluence.2014.6949044
http://orkg.org/orkg/resource/R25193,10.1109/icsip.2014.34
http://orkg.org/orkg/resource/R25203,10.1109/71.250099
http://orkg.org/orkg/resource/R25207,10.1109/ieec.2010.5533278
http://orkg.org/orkg/resource/R25209,10.1109/tpds.2006.171
http://orkg.org/orkg/resource/R25211,10.1109/tpds.2007.1076
http://orkg.org/orkg/resource/R25215,10.1109/nca.2009.11
http://orkg.org/orkg/resource/R25217,10.1109/tpds.2011.27
http://orkg.org/orkg/resource/R25219,10.1109/infcom.2004.1356969
http://orkg.org/orkg/resource/R25221,10.1007/3-540-45748-8_29
http://orkg.org/orkg/resource/R25225,10.3115/1557690
http://orkg.org/orkg/resource/R25229,10.1109/aeect.2013.6716448
http://orkg.org/orkg/resource/R25231,10.3115/1614164
http://orkg.org/orkg/resource/R25235,10.1109/ficloud.2014.95
